Vannlokalitet_kode,Betegnelse,Aktivitet_id,Oppdragsgiver,Oppdragstaker,Parameter_id,VitenskapligNavn,Provetakmetode_id,Analysemetode_id,Tid_provetak,Listenavn,Provenr,Ant_verdier,Kommentar,source_file,date,year,value,upper_m,lower_m
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Crassostrea gigas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Carcinus maenas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,Enkeltfunn,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,1,,
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra pilosa,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Membranipora membranacea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Alcyonidium,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,50 - 75 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,5,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,Enkeltfunn,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,1,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,5 - 25 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Crassostrea gigas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Dynamena pumila,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Carcinus maenas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,Enkeltfunn,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,1,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra pilosa,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Membranipora membranacea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Alcyonidium,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,50 - 75 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,5,,
01.01-101535,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Porifera,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 14:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Metridium senile pallidus (Varietet),NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina littorea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina obtusata,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Spirorbis spirorbis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Crassostrea gigas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Dynamena pumila,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,50 - 75 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,5,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Asterias rubens,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,Enkeltfunn,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,1,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra pilosa,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Membranipora membranacea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Alcyonidium,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,0 - 5 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101536,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Porifera,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 15:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,5 - 25 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,50 - 75 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,5,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina littorea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina saxatilis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Nucella lapillus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,Enkeltfunn,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,1,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Crassostrea gigas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Laomedea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Dynamena pumila,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra pilosa,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,4,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Membranipora membranacea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Alcyonidium,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101537,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 17:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,50 - 75 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,5,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina littorea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,2,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina saxatilis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,2,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Halichondria panicea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,2,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Crassostrea gigas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,2,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Amphibalanus improvisus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,75 - 100 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,6,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Asterias rubens,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,2,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra crustulenta,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,4,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra pilosa,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,3,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Alcyonidium,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,2,,
01.01-101538,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-12 20:00:00,0 - 5 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-12,2024,2,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,5 - 25 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,3,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina littorea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,2,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Dynamena pumila,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,4,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Asterias rubens,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,2,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra pilosa,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,3,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Membranipora membranacea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,3,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Alcyonidium,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,4,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,0 - 5 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,2,,
01.01-101539,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 16:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,4,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Botrylloides leachii,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Botryllus schlosseri,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina littorea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,4,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina obtusata,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Spirorbis spirorbis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Crassostrea gigas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
01.01-101540,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Dynamena pumila,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-10 11:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-10,2024,2,,
